index,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,salary-class
1_a, paige, lowe,3, chave street, keelee, gowwie,2906, qld,19140707,2534242,<=50K
2_a, paige, lowe,3, chave street, keelee, gowrie,2906, qld,19140707,5860195,<=50K
3_a, amelia, ryan,35, sidaway street, jemalong retrmnt vlge, avalon,3184, nsw,19230301,1613259,>50K
4_a, rourke, webv,5, welsby pnlace, bungarra, island b each,6020, nsw,19780601,8955738,<=50K
5_a, imogen, akroyd,8, everard street, strathalan community, marsfield,3219, qld,19361218,4817613,<=50K
6_a, lachlan, jukic,2, morgan crescent, parklea, raymond terrace,2250, nsw,19780702,4027998,<=50K
7_a, thomas, wijedasa,152, powers place, carney's arcade, bowen hills,6021, tas,19820415,8129413,<=50K
8_a, thomas, graue,4, dinnison gcircuit, vila 178, clovelly,4123, wa,19120911,5760570,<=50K
9_a, matthew, green,28, banks srteet, old ffarm, mooroofbark,6108, nsw,19161230,6391014,<=50K
10_a, lacey, clarke,54, starritt place, st fra ncis vlge, goomalibee,2600, wa,19700209,9397537,<=50K
11_a, nicholas, campbell,87, poynton street, karma park, albion park,4655, qld,19041212,9882754,<=50K
12_a, caleb, radic,17, moon place, cooralook, south perth,4305, nsw,19471021,6519229,<=50K
13_a, reeve, mileq,2, renwick lwtreet, yarra bee, barwon heads,2342, nsw,19810406,1067923,<=50K
14_a, thomas, shepherd,4, dinnison circuit, vila 178, clovelly,4123, wa,19120911,6706820,<=50K
15_a, andrew, bradshaw,238, berne crescent, civic centre, greensborough,3095, sa,19941118,6385462,<=50K
16_a, zachary, lodge,28, monaro highway, akenfield, sandy bay,4109, qld,19790613,3535105,<=50K
17_a, zachary, lodge,28, monaro highway, akenfield, malvern east,2200, qld,19790613,2678628,<=50K
18_a, thomas, wijedasa,152, powers place, carney's arcade, bowen hills,6021, tas,19820415,8192413,<=50K
19_a, edward, ryan,35, sidaway street, jemalong retrmnt vlge, avalon,3184, nsw,19230301,4392917,<=50K
20_a, joshus, maclennan,41, karsjl, roper nplace, eight mile plains,2795, qld,19700525,8982317,<=50K
21_a, bianca, demetriou,4, jennings street, ahwahnee, dapto,3216, nsw,19261103,8066343,>50K
22_a, broke, durbridge,63, boult place, banamba, bacchusm arsh,6147, sa,19951015,6266446,<=50K
23_a, emma, speight,8, investigator street, willarfo, tweed headsysouth,2770, vic,19630623,5067534,<=50K
24_a, caleb, radic,17, moon place, coor alook, south perth,4305, nsw,19471021,6519249,<=50K
25_a, joel, mcgilc hrist,76, borrowdale street, rockles, bund akerg,4871, wa,19141214,8721264,>50K
26_a, adam, ciotti,13, hyatt place, kersey' south, coffs harbour,5039, nsw,19910920,9490795,<=50K
27_a, james, blake,19, sturt avenue, laloki, carnegie,2218, nsw,19050716,7830672,>50K
28_a, rourke, webb,5, welsby place, bungarra, island beach,6020, nsw,19780601,3380232,<=50K
29_a, lachlan, jukic,2, morgan crescent, parklea, raymond terrace,2205, nsw,19780702,3250274,<=50K
30_a, eliza, giannikouris,35, ebelin g court, dooducinn, seymoux,3162, qld,19781218,7680660,<=50K
31_a, ella, reid,93, twamley crescent, stanton, peterborough,3677, qld,19090330,4721057,>50K
32_a, reeve, quilliam,2, renwick street, yarrabee, barwon heads,2340, nsw,19810406,1066923,<=50K
33_a, april, herbert,123, slessor crescent, glebe garden, wisemans ferry,2517, nsw,19421030,2349971,>50K
34_a, joshua, maclennan,41, roper place, karsul, eight mile plains,2795, qld,19700525,8982137,<=50K
35_a, kyale, bullivnt,4, woolrych street, amble side garden, comboyne,3912, wa,19590523,7453255,<=50K
36_a, erin, zimmermann,80, booroondara street, tallinga park, dulwich hill,2226, qld,19351228,4406038,<=50K
37_a, eliza, keany,6, nicklin crescent, charlestown, longreach,2760, vic,19280802,3061308,<=50K
38_a, brooke, coulson,1, tristaniastreet, diamond downs, cheste r hill,2147, qld,19590522,5893169,<=50K
39_a, adam, ciogti,127, hyattpalce, kersey' south, coffs harbour,5039, nsw,19910920,3451318,>50K
40_a, oliver, rickett,194, sturt avenue, shopping centre, jamestown,2526, qld,19431020,6090360,<=50K
41_a, cooper, murry,12, werriwa crescent, hellemere village, yackandandah,6280, nsw,19750818,7861712,<=50K
42_a, joel, mcgilchrist,76, borrowdale street, rocklea, bundaberg,4871, wa,19141214,1370792,<=50K
43_a, talyah, bradshaw,47, santalum street, warrambah, pennantyhills,3214, qld,19010925,3590063,<=50K
44_a, isabelle, webb,41, willoughby crescent, kalang, coffs harbour,6061, vic,19140326,6670738,>50K
45_a, bertie, whetstone,3, green street, the willows, aspendale gardens,2103, nt,19200216,9009837,<=50K
46_a, brooke, durbridge,63, boult place, banamba, bacchus marsh,6147, sa,19951015,6266464,<=50K
47_a, sebastian, wilde,47, darwinia terrace, the canberra hospital, melville,3929, vic,19270728,6646273,<=50K
48_a, aloysius, pegg,4, forster specialis t medical centre, meldrum street, woodend,5037, sa,19530306,9175450,<=50K
49_a, lacey, clarke,54, starritt place, st francis vlge, goomalibee,2600, wa,19700209,9307537,<=50K
50_a, eriaz, keacny,6, nicklin cre scent, char lstown, longeach,2706, vic,19280802,3061208,<=50K
51_a, isabelle, webb,41, willoughby crescent, kalang, coffs harbour,6061, vic,19140326,6607738,<=50K
52_a, sarah, fleet,35, pocket avenue, ironbark lodge, port lincoln,4557, vic,19131207,9954629,>50K
53_a, campbell, ryan,15, coningham street, laguna retirement village, mount nelson,3059, nsw,19460529,9805743,>50K
54_a, kyle, bullivant,4, woolrych street, amble side garden, rosebud,3192, wa,19590523,7453525,<=50K
55_a, alexandra, britten,66, finniss crescent, guyra, montmorency,3226, qld,19581231,6358553,<=50K
56_a, brooke, coulson,1, tristania street, diamond downs, chester hill,2147, qld,19590522,5892169,<=50K
57_a, alexandra, britten,67, finniss crescent, guyra, montmorency,3226, qld,19581231,6358573,<=50K
58_a, talyaj, webb,18, richards s treet, bishops creek, burleigh waters,2230, qld,19160729,7328160,>50K
59_a, riley, siviour,15, tubb place, rocor, ivanhoe east,3186, nsw,19080709,3126008,<=50K
60_a, chevonne, walkley,9, milbus place, gullamurra, kirwan,3156, nsw,19300524,4430821,<=50K
61_a, emiily, george,4, marawa place, west gippsland hospital, modbury,5253, qld,19861104,4599952,<=50K
62_a, talyah, bradshaw,47, santalum street, warrambah, pennant hills,3214, qld,19010925,3590603,<=50K
63_a, willow, ryan,764, bradfield street, sec 209 clifton farm, mount colah,4053, nsw,19930803,8141746,>50K
64_a, rickett, oliver,194, sturt afenue, shoppingcentre, jamedtown,2256, qld,19431020,6090460,>50K
65_a, april, harrington,123, slessor crescent, glebe garden, wisemans ferry,2517, nsw,19111101,8853061,<=50K
66_a, james, blake,19, sturt avenue, laloki, carnegie,2218, nsw,19050716,4003660,<=50K
67_a, harriet, belperio,3, hawker place, lakeview park, roselands,3206, qld,19160115,5056485,<=50K
68_a, emma, speight,8, investigator street, willaroo, tweed heads south,2770, vic,19630623,5061534,<=50K
69_a, lewis, bishop,1, fawknerstreet, athlone, deepwater,7018, vic,19410829,8879962,<=50K
70_a, taylah, webb,18, richards street, bishops creek, burleigh waters,2230, qld,19160729,7328106,<=50K
71_a, bianca, demetriou,22, jenning sstreet, ahwahnee, dapto,3216, nsw,19261103,8066334,<=50K
72_a, matthew, mccarthy,28, banks street, old farm, mooroolbark,6108, nsw,19161230,5341202,<=50K
73_a, murry, cooper,12, werriwag crescent, hellemere pillage, yackandandah,6280, nsw,19750818,7861721,>50K
74_a, eliza, giannikouris,35, ebeling court, dooducinn, seymour,3162, qld,19781218,6927093,<=50K
75_a, betie, nguyen,3, green street, the willows, aspendale gardens,2103, nt,19200216,9529557,<=50K
76_a, ryan, campbell,15, coningham street, laguna retirement village, wynyard,3095, nsw,19460529,9859620,<=50K
77_a, aloysius, pegg,4, meldrum street, forster specialist medical centre, woodend,5037, sa,19530306,5615832,<=50K
78_a, lewis, bishop,1, banfield street, athlone, deepwater,7018, vic,19410829,6196273,<=50K
79_a, imzogen, akroyd,14, everard street, strathalan co mmunity, marsfield,3219, qld,19301206,4816613,<=50K
80_a, sarah, bruhn,44, forbes street, wintersloe, kellerberrin,4510, vic,19300213,7535316,<=50K
81_a, brinley, efthimiou,35, sturdee crescent, tremearne, scarborough,5211, qld,19940319,6814956,>50K
82_a, aleisha, hobson,54, oliver street, inglewood, toowoomba,3175, qld,19290427,5967384,>50K
83_a, ethan, gazzola,49, sheaffe street, bimby vale, port pirie,3088, sa,19631225,3832742,<=50K
84_a, alicia, hope,100, mansfield place, sunset, byford,6061, sa,19421201,7934773,<=50K
85_a, benjamin, kolosche,78, keenan street, wingara, raymond terrace,3212, sa,19450918,5698873,>50K
86_a, rachael, lomman,37, carlile street, clonturkle, bronte,2177, nsw,19910228,9462397,<=50K
87_a, joseph, dissinger,3, wilson street, braeburn, blacktown,2193, nsw,19370312,7419586,>50K
88_a, sarah, verco,100, de salis street, iron bark ridge, north rocks,4210, nsw,19400826,9844628,<=50K
89_a, sidonie, burford,4, hartigan street, eventide homes, gunpowder,2045, vic,19471114,2590848,<=50K
90_a, andrew, carbone,191, jabanungga avenue, villa 147 henry kendall bayside, malvern east,5631, vic,19720809,6909412,<=50K
91_a, alexandra, matthews,174, port jackson circuit, old timers south, whaleback,2830, vic,19261017,2919332,<=50K
92_a, matthew, white,3, bean crescent, anglican church, sale,4221, vic,19630121,3038141,<=50K
93_a, brooke, stearnes,44, paul coe crescent, aprt 22, mutdapilly,2196, sa,19550918,4444208,<=50K
94_a, liam, karahalios,13, severne crescent, devonport vacation vlge, toorak,6026, nsw,19230614,7282976,<=50K
95_a, darcy, morrison,36, lewis luxton avenue, the mews royal hotel bldg, cooks hill,3108, nsw,19170212,6146184,<=50K
96_a, kody, stubbs,31, ballumbir street, tulla burra, labrador,3220, nsw,19470214,7063753,<=50K
97_a, nasyah, gogel,15, herschell circuit, leafleigh, glenmore park,3178, vic,19310714,3118939,<=50K
98_a, joel, dixon,9, mcclelland avenue, drumwood, newham,6023, nt,19510104,3877072,<=50K
99_a, dillon, whatman,16, parkhill street, yalkara, cranbourne,2745, wa,19820605,6321289,>50K
100_a, annabelle, noble,1, stenhouse close, the dales, belmont,2470, nsw,19500225,7171567,>50K
101_a, madeleine, angerson,69, morrissey street, cooee, st kilda,3909, sa,19780209,8360823,>50K
102_a, liam, marshal,62, gurnai place, sommerset park, jolimont,3215, vic,19700420,3211359,<=50K
103_a, ruby, whiteley,2, tadgell place, tressing fields, crows nest,2210, vic,19391216,8304397,<=50K
104_a, kiara, george,5, severne crescent, maybank, woodcroft,4010, nsw,19460525,5459008,<=50K
105_a, jasmine, drechsler,4, mahon place, inglewood, belmont,2085, qld,19510302,9479653,<=50K
106_a, alisha, stubbs,14, mokoan place, st francis vlge, devonport,4157, vic,19750817,7300376,<=50K
107_a, emiily, persing,540, rivett street, rp 729, seven hills,4563, vic,19880410,9964203,<=50K
108_a, zarran, bloomfield,51, macgregor street, sherwood, lockleys,2766, wa,19000810,3202559,<=50K
109_a, madison, hoffman,2, evelyn owen crescent, seabrook chambers, highbury,2221, vic,19160108,5958443,<=50K
110_a, isobel, stephenson,60, wilkins street, blackridge flyfishing school, cobdogla,2168, wa,19370922,2692756,>50K
111_a, kayla, tu,6, chauvel circle, adventist retireemnt village, coleambally,3137, qld,19980329,7125552,>50K
