index,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,salary-class
1_b, toby, pusser,68, tazewell circuit, eagle rock, st clair,2064, vic,19520615,5156078,<=50K
2_b, amelia, hillary,4, mackellar xrescent, bur nside, ashfield,2034, qld,19970102,2137478,<=50K
3_b, eleni, colquhoun,22, temperley street, rowethorpe, firle,4680, vic,19910203,7175387,<=50K
4_b, sarah, mchenry,528, bullock circuit, john flynn medical centre, batlow,4564, vic,19020515,2024964,<=50K
5_b, alicia, tu,21, antis street, lansdowne, kirwan,4169, vic,19391124,9474097,<=50K
6_b, george, trivett,9, shackleton circuit, kokoda village, cooranbong,2594, sa,19301027,2514290,>50K
7_b, erin, kyriacuo,32, holmes crescent, fernculiff, horsley,2138, vic,19900510,5417288,<=50K
8_b, holly, ziersch,5, kauper street, arndilly, port lincoln,3121, nsw,19200929,4486175,<=50K
9_b, michael, lierach,29, hallstromcircuit, lazy acres, northampton,4405, nsw,19360816,8185284,>50K
10_b, sarsha, thorpe,2, macleaya rtreet, bega flats, torquay,3197, nsw,19200510,9195865,<=50K
11_b, joshua, kirimovs,19, slessorc rescent, anglican guest village, christie downs,5041, vic,19320714,6007331,<=50K
12_b, lachlan, hersey,26, southern cros s drive, teazles, frankston,2065, sa,19620521,8117786,<=50K
13_b, holly, shepherd,33, stillwel l place, elston, albion park rail,6210, vic,19800323,4620818,>50K
14_b, roisin, lorraway,69, waratah street, burrawang, vale park,4740, wa,19910706,9367740,<=50K
15_b, elizabeth, bartel,3, garrad court, st helens pastoral co, broken hill,2449, vic,19831127,1042252,>50K
16_b, matthew, green,3, larpent sztreet, brentwodo vlge, diane lla,2101, vic,19410114,8051408,<=50K
17_b, lauren, finlay,19, colefax lgace, killraney, chinchilla,4870, act,19020608,3951342,>50K
18_b, madison, boxhayol,10, yanda street, kookaburra village, dapto,4793, sa,19100412,7262746,>50K
19_b, isabella, hendricks,86, colborne place, dog rock shopping centre, kingston,2000, nsw,19770129,9899655,<=50K
20_b, grace, chitti,16, neeld place, treasalee, wyomung,3501, wa,19670273,9584513,<=50K
21_b, charlotte, glass,3, sculptor street, green farm mates, hahndorf,2851, qld,19510713,3792276,<=50K
22_b, morrison, max,30, yanda street, arlington, moonta,2024, qld,19961120,6404764,<=50K
23_b, aloysius, jolly,14, morehead street, gleneira, scarborough,4078, qld,19170308,2866938,<=50K
24_b, william, bracci,13, hann st reet, upper flat, kincumger,2154, nsw,19470617,7315857,<=50K
25_b, lydia, mccarthy,6, mckillop circuit, telemon orchards, corio,4670, nsw,19751220,1835068,<=50K
26_b, zack, berry,80, atherton street, cantlay farm, hamilton,7315, vic,19310124,1934687,>50K
27_b, jake, wilkins,1042, alfred hill drive, st john of god hospital, hope valley,2760, vic,19340404,2867046,<=50K
28_b, marcus, wardle,50, gilmore crescent, brightling park, edithvsle,3104, sa,19991212,6017101,<=50K
29_b, talhia, vacchiani,67, newland street, tahmolr, blackbutt,2304, qld,19041007,5476244,>50K
30_b, demie, hirota,2, sutt or street, namarva station, dulwich hill,4551, qld,19370501,2070669,<=50K
31_b, thomas, whigte,46, forlonge street, cleveland, speaewood,2471, sa,19101219,8203692,<=50K
32_b, holly, shepherd,44, castlereahg crescent, dalkeith cottage, eaton,6060, vic,19980816,1917978,<=50K
33_b, bianca, shepherd,22, newdegate street, burbong cottage, fairy hill,2069, qld,19060315,3375779,>50K
34_b, ned, geore,98, colborne place, rosedale, maryborough,2221, wa,19290715,5389901,>50K
35_b, lauren, paine,27, mcvey place, yambira, helidon,2463, qld,19440502,4517134,<=50K
36_b, bianca, belling,14, canberra avenue, craiglyn, reynella,4868, nsw,19580731,8031578,<=50K
37_b, will, seng,36, jim pike avenue, warilei, yengarie,5540, qld,19510103,1604410,<=50K
38_b, isaiah, siviour,7, melba street, killone park, swan hill,4129, sa,19020905,8900765,<=50K
39_b, ryan, indiana,103, brimage place, dudley specialist medical centre, kangarol flat,3191, nsw,19770224,8553719,<=50K
40_b, eliza, rundle,19, warabin crescent, east road, mermaird waters,2644, nsw,19480101,9904533,>50K
41_b, micah, humphreys,59, windradyne street, enter boolwey s street, jacana,3137, nsw,19381107,5990502,>50K
42_b, benjaymin, lowe,96, macleay street, morocrco, wanneroo,2530, vic,19261108,5606231,<=50K
43_b, bayden, lamborn,85, capella crescent, wilga, leongatha,5098, vic,19701214,6030277,<=50K
44_b, blaye, stanfield,9, nimbin street, glenlee, arundel,3034, nsw,19970826,4080455,<=50K
45_b, grace, george,1, hopegood place, willowvlodge, mill park,3175, nsw,19200909,1604575,>50K
46_b, lily, hoang,16, harpur s treet, robgil farm, camden,2444, wa,19621226,6810521,<=50K
47_b, madeline, ebdell,17, amagula avenue, rockwood, nungurner,5253, sa,19690807,7508632,>50K
48_b, campbell, golder,12, affleck place, mlc centre, st albans,1349, qld,19960904,6563705,>50K
49_b, andrew, kellow,57, arndell street, kimnic park, tarnagulla,2021, nsw,19271202,6380128,>50K
50_b, alessandra, webb,10, gilirukcrescent, cherry court, balwyn north,3622, nsw,19860415,1396032,>50K
51_b, luke, berryman,14, archibald street, kookaburra village, undercliffe,2153, nsw,19380405,4687097,<=50K
52_b, xepheren, everett,90, packer street, yonda pines, bulimba,4370, sa,19750202,6641961,<=50K
53_b, reid, bree,3, gooromon poeds road, eldw ick, rocky point,6155, nsw,19230129,8794990,<=50K
54_b, tara, white,320, winter street, yengola, wanneroo,3153, nsw,19460615,3244945,<=50K
55_b, ethn, davic,298, meyrick place, bingletree, tarragindi,3691, nsw,19901001,4525246,>50K
56_b, michaela, scrimgeour,6, bootle place, lillydale, mount ituart,3931, qld,19190908,7520570,<=50K
57_b, lil, clarke,14, torrens street, wal 53581, orange,2756, nsw,19460126,7261178,>50K
58_b, oliver, goodeve,218, brigalow street, tourist park, riverstone,4018, vic,19860113,7051652,>50K
59_b, leah, reecs,16, solly place, wyomink park, strathbogie,2327, vic,19000103,7395505,>50K
60_b, joel, leon,50, john russell circuit, hawkins masonic vlge, bundaberg,7011, qld,19970504,7059874,>50K
61_b, dalke, ottens,44, bellchamberscrescent, antiekua, wingham,5290, sa,19930316,8176920,<=50K
62_b, coulason, charlotte,16, townscrescent, arcadia, yagoona,2222, wa,19530128,6767692,>50K
63_b, lydia, blake,3, elimatta street, foreshore caravan park, cunnamulla,5082, vic,19300602,5723847,<=50K
64_b, danny, petwrsen,12, owen dixon drive, rawdom hill, minto,3029, wa,19441022,6090944,<=50K
65_b, liam, shoben,13, sheehy street, part secct 231, kardinya,3182, qld,19220917,4177703,<=50K
66_b, petersen, sophie,141, ivo whitton circuit, flr 5 john flyn n medical centre, singletonn heights,3094, nsw,19440521,1237520,<=50K
67_b, tabhta, mcgirr,8, longerenong street, berkelet vlge, barmefa,4218, act,19221120,6798307,<=50K
68_b, emiily, crokre,15, castleton crescent, montrose, como,4214, nsw,19461118,6056886,>50K
69_b, maxin, hewson,48, ammon place, inglewood, ivanhoe,5048, vic,19781215,7902006,>50K
70_b, jack, hassell,64, mcmaster street, port geographe, the rock,4812, nsw,19200331,4503596,<=50K
71_b, molly, ebert,1, stokes street, stockwell hotel, noble park,2222, nsw,19351121,3583279,<=50K
72_b, freya, springthorpe,5, mina wylir crescent, locn 3439, st clair,6158, nsw,19120525,7654842,<=50K
73_b, alexandra, heron,32, tullaroop street, vinery, elsternwick,6208, nsw,19400609,9873657,<=50K
74_b, makenzi, nirta,8, leah y close, blue carne farm, spearwood,4487, sa,19701002,1655073,<=50K
75_b, sophie, red,37, hawkins close, greenhills, toowong,2267, wa,19210624,9022097,<=50K
76_b, amy, chandler,65, plant road, blck 1089, findon,2086, sa,19510715,1609739,<=50K
77_b, liam, waller,37, blacket street, old purrawunda, st kilda east,3221, wa,19920706,7876568,<=50K
78_b, braidn, mctjrk,7, kambah exchange street, lazy acres, yangebup,2135, vic,19631104,9333629,<=50K
79_b, andrew, gielen,14, haywar d place, santa lucille, caulfiel d north,6450, vic,19441228,8670610,<=50K
80_b, isabelle, chappel,9, tauss place, holmwood cottage, upwey,4575, sa,19620420,3578242,>50K
81_b, jarwd, jolly,84, macarthur avenue, nareen gardens hostel, floreat,2290, nsw,19281125,7406558,<=50K
82_b, benjamin, white,1, kitchener street, greenhills, minchinbury,4109, wa,19260828,1069868,<=50K
83_b, harry, peacehy,45, george street, wirreanda vlge, huonbrook,3914, sa,19760829,7814989,<=50K
84_b, tai, toews,16, badimara street, kodootonga, maitland,4818, vic,19810610,5213349,>50K
85_b, hanah, carbone,7, officer crescent, wellsoht, blackmans bay,2227, vic,19090326,1948811,<=50K
