rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id,ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
rec-223-org, jamilla, waller,6.0, tullaroop street, willaroo, st james,4011, wa,19081209.0,6988048,17154.0,Male,43.0,Black,Married-civ-spouse,HS-grad,United-States,Private,Other-service,>50K
rec-122-org, lachlan, berry,69.0, giblin street, killarney, bittern,4814, qld,19990219.0,7364009,28573.0,Male,42.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
rec-373-org, deakin, sondergeld,48.0, goldfinch circuit, kooltuo, canterbury,2776, vic,19600210.0,2635962,804.0,Male,51.0,Asian-Pac-Islander,Married-civ-spouse,Bachelors,China,Self-emp-not-inc,Sales,>50K
rec-10-dup-0, kayla, harrington,38.0, maltby circuit, coaling, coolaroo,3465, nsw,19150612.0,9004242,2708.0,Male,27.0,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
rec-227-org, luke, purdon,23.0, ramsay place, mirani, garbutt,2260, vic,19831024.0,8099933,8709.0,Male,39.0,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,<=50K
rec-190-dup-0, darcie, turtur,10.0, blacket street, eureka, beverly hills,2263, nsw,19570422.0,2025650,14245.0,Male,49.0,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Protective-serv,>50K
rec-294-org, william, bishop,21.0, neworra place, apmnt 65, worongary,6225, qld,19490130.0,9773843,4231.0,Male,25.0,White,Divorced,Some-college,United-States,State-gov,Protective-serv,<=50K
rec-206-dup-0, rosa, lombardi,36.0, yerralee road, leisure living vlge, carlsruhe,3149, qld,19870919.0,1613132,26744.0,Male,61.0,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
rec-81-dup-0, abbey, fit,13.0, kosciusko avenue, the wharf complex, yass,2594, nsw,19870510.0,7661096,15866.0,Male,59.0,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
rec-34-org, isabella, lodder,156.0, messenger street, tongbong sanctuary, bayswater,4870, vic,19650714.0,2790666,27628.0,Male,32.0,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
rec-478-org, anthony, beazley,12.0, birubi place, currandina, flemington,2477, qld,19730924.0,6558077,19341.0,Male,46.0,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K
rec-225-org, alia, streich,74.0, maranoa street, rocky bend, rowville,6152, vic,19790418.0,1975340,1177.0,Male,52.0,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
rec-452-org, alissa, kilmartin,37.0, reveley crescent, crown allot, wolumla,6210, nsw,19041118.0,7994055,28592.0,Male,33.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
rec-67-org, jacob, lyden,25.0, haddon street, glenview, woodville north,2226, qld,19910424.0,6426415,25608.0,Male,24.0,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
rec-286-org, evangelia, shepherd,9.0, crichton crescent, mirilla, lutwyche,2794, qld,19900909.0,3877160,4902.0,Male,19.0,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
rec-251-dup-0, paige, lowe,3.0, chave street, keelee, gowwie,2906, qld,19140707.0,2534242,18258.0,Male,24.0,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
rec-335-org, alexa-rose, lowe,67.0, ballarat street, the willows, westwood,4011, nsw,19691123.0,2624157,24029.0,Female,47.0,Black,Never-married,12th,United-States,Private,Adm-clerical,<=50K
rec-439-org, kirra, brock,93.0, clarnette place, backwoodlands, orbost,2528, vic,19231209.0,5107876,19693.0,Male,53.0,White,Married-civ-spouse,11th,United-States,Private,Craft-repair,<=50K
rec-251-org, paige, lowe,3.0, chave street, keelee, gowrie,2906, qld,19140707.0,5860195,8486.0,Male,28.0,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
rec-409-org, liam, mcphail,94.0, langdon avenue, jandarra, patterson lakes,3029, qld,19920711.0,2109237,5618.0,Male,57.0,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Adm-clerical,<=50K
rec-125-org, john, van't hof,5.0, morshead drive, ocean crt (cnr beach s street, maida vale,2745, vic,19360109.0,9574272,29316.0,Female,41.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K
rec-70-org, chloe, reitler,14.0, daley crescent, halfway hill, ballina,6164, qld,19171028.0,7162356,24308.0,Male,54.0,White,Never-married,HS-grad,United-States,Private,Exec-managerial,>50K
rec-73-org, kyle, limbert,7.0, dandenong court, the pinnacle, springwood,3143, nsw,19080527.0,2479285,1409.0,Male,40.0,White,Married-civ-spouse,10th,United-States,Private,Machine-op-inspct,>50K
rec-284-dup-0, jacob, di chiera,61.0, bimbiang crescent, the manor garden, unanderra,4680, nsw,19610831.0,2176932,21856.0,Male,40.0,White,Never-married,Some-college,United-States,Private,Exec-managerial,>50K
rec-186-org, dakota, morrison,33.0, longmore crescent, three acres, brookvale,2710, nsw,19151229.0,5031530,29395.0,Female,42.0,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,<=50K
rec-58-org, spyke, schumann,78.0, clark close, pine tree, tannum sands,2326, nsw,19020422.0,6677685,3911.0,Male,32.0,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
rec-381-dup-0, anneliese, clarke,109.0, arawang, langdon avenue, pakenham,3114, nsw,19000404.0,9135773,19180.0,Female,33.0,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
rec-305-dup-0, amelia, ryan,35.0, sidaway street, jemalong retrmnt vlge, avalon,3184, nsw,19230301.0,1613259,10286.0,Male,39.0,White,Never-married,HS-grad,United-States,Private,Craft-repair,>50K
rec-149-org, kydan, mccarthy,67.0, clemenger street, the points holsteins, fairlawn,6415, nsw,19720518.0,6527653,15594.0,Female,53.0,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
rec-140-dup-0, georgia, gryosler,8.0, foxall street, willaroo, lockwlod,3338, nsw,19321106.0,8000491,23458.0,Male,40.0,White,Divorced,HS-grad,United-States,Private,Transport-moving,>50K
rec-364-org, bailey, campbell,136.0, porteous crescent, teasdale park, albany creek,3942, vic,19830721.0,8875552,1665.0,Male,35.0,White,Married-civ-spouse,Assoc-voc,United-States,Private,Exec-managerial,>50K
rec-23-org, kelsey, halligan,3.0, dilboong place, rosetta village, kedron,6027, nsw,19900301.0,8576385,2366.0,Male,47.0,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
rec-335-dup-0, alexa-rose, lowe,67.0, ballara t street, the willows, westwood,4012, nsw,19691123.0,2624157,24029.0,Female,47.0,Black,Never-married,12th,United-States,Private,Adm-clerical,<=50K
rec-403-org, gemaley, matthews,388.0, goessling place, evergreen, pennant hills,3194, nsw,19730829.0,4691516,13382.0,Male,19.0,White,Never-married,Some-college,United-States,Self-emp-not-inc,Transport-moving,<=50K
rec-382-dup-0, joshua, rickett,1.0, burraly corut, malladuo, belleve hill,2439, act,19030121.0,4310453,17103.0,Male,51.0,White,Married-civ-spouse,Bachelors,United-States,Federal-gov,Exec-managerial,<=50K
rec-167-org, emma, green,30.0, learmonth drive, wallace heights, boundary bend,2747, qld,19310903.0,9262880,16553.0,Male,20.0,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
rec-23-dup-0, kelsey, halligan,3.0, dilboong place, rosetta village, kedron,6027, nsw,19900301.0,8576385,2366.0,Male,47.0,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
