given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,salary-class
 jamilla, waller,6, tullaroop street, willaroo, st james,4011, wa,19081209,6988048,>50K
 lachlan, berry,69, giblin street, killarney, bittern,4814, qld,19990219,7364009,>50K
 deakin, sondergeld,48, goldfinch circuit, kooltuo, canterbury,2776, vic,19600210,2635962,>50K
 kayla, harrington,38, maltby circuit, coaling, coolaroo,3465, nsw,19150612,9004242,>50K
 luke, purdon,23, ramsay place, mirani, garbutt,2260, vic,19831024,8099933,<=50K
 darcie, turtur,10, blacket street, eureka, beverly hills,2263, nsw,19570422,2025650,>50K
 william, bishop,21, neworra place, apmnt 65, worongary,6225, qld,19490130,9773843,<=50K
 rosa, lombardi,36, yerralee road, leisure living vlge, carlsruhe,3149, qld,19870919,1613132,>50K
 abbey, fit,13, kosciusko avenue, the wharf complex, yass,2594, nsw,19870510,7661096,>50K
 isabella, lodder,156, messenger street, tongbong sanctuary, bayswater,4870, vic,19650714,2790666,<=50K
 anthony, beazley,12, birubi place, currandina, flemington,2477, qld,19730924,6558077,>50K
 alia, streich,74, maranoa street, rocky bend, rowville,6152, vic,19790418,1975340,<=50K
 alissa, kilmartin,37, reveley crescent, crown allot, wolumla,6210, nsw,19041118,7994055,>50K
 jacob, lyden,25, haddon street, glenview, woodville north,2226, qld,19910424,6426415,<=50K
 evangelia, shepherd,9, crichton crescent, mirilla, lutwyche,2794, qld,19900909,3877160,<=50K
 paige, lowe,3, chave street, keelee, gowwie,2906, qld,19140707,2534242,<=50K
 alexa-rose, lowe,67, ballarat street, the willows, westwood,4011, nsw,19691123,2624157,<=50K
 kirra, brock,93, clarnette place, backwoodlands, orbost,2528, vic,19231209,5107876,<=50K
 paige, lowe,3, chave street, keelee, gowrie,2906, qld,19140707,5860195,<=50K
 liam, mcphail,94, langdon avenue, jandarra, patterson lakes,3029, qld,19920711,2109237,<=50K
 john, van't hof,5, morshead drive, ocean crt (cnr beach s street, maida vale,2745, vic,19360109,9574272,<=50K
 chloe, reitler,14, daley crescent, halfway hill, ballina,6164, qld,19171028,7162356,>50K
 kyle, limbert,7, dandenong court, the pinnacle, springwood,3143, nsw,19080527,2479285,>50K
 jacob, di chiera,61, bimbiang crescent, the manor garden, unanderra,4680, nsw,19610831,2176932,>50K
 dakota, morrison,33, longmore crescent, three acres, brookvale,2710, nsw,19151229,5031530,<=50K
