index,street_number,postcode,state,date_of_birth,salary-class
33_b,[1-231],[2069-2195],"['nsw', 'qld', 'vic']",[19001115-19100210],>50K
336_b,[1-231],[2069-2195],"['nsw', 'qld', 'vic']",[19001115-19100210],<=50K
514_b,[1-231],[2069-2195],"['nsw', 'qld', 'vic']",[19001115-19100210],<=50K
696_b,[1-231],[2069-2195],"['nsw', 'qld', 'vic']",[19001115-19100210],>50K
712_b,[1-231],[2069-2195],"['nsw', 'qld', 'vic']",[19001115-19100210],<=50K
185_b,[3-323],[2000-2107],"['nsw', 'qld', 'sa', 'wa']",[19011012-19080513],<=50K
216_b,[3-323],[2000-2107],"['nsw', 'qld', 'sa', 'wa']",[19011012-19080513],<=50K
251_b,[3-323],[2000-2107],"['nsw', 'qld', 'sa', 'wa']",[19011012-19080513],<=50K
686_b,[3-323],[2000-2107],"['nsw', 'qld', 'sa', 'wa']",[19011012-19080513],<=50K
864_b,[3-323],[2000-2107],"['nsw', 'qld', 'sa', 'wa']",[19011012-19080513],<=50K
482_b,[5-484],[2088-2164],"['act', 'nsw', 'vic']",[19000619-19101002],<=50K
502_b,[5-484],[2088-2164],"['act', 'nsw', 'vic']",[19000619-19101002],>50K
506_b,[5-484],[2088-2164],"['act', 'nsw', 'vic']",[19000619-19101002],>50K
794_b,[5-484],[2088-2164],"['act', 'nsw', 'vic']",[19000619-19101002],<=50K
89_b,[7-609],[2016-2170],"['tas', 'vic']",[19010712-19120624],<=50K
97_b,[7-609],[2016-2170],"['tas', 'vic']",[19010712-19120624],<=50K
568_b,[7-609],[2016-2170],"['tas', 'vic']",[19010712-19120624],<=50K
547_b,[2-18],[2196-2206],"['nsw', 'qld']",[19110520-19120808],>50K
643_b,[2-18],[2196-2206],"['nsw', 'qld']",[19110520-19120808],<=50K
841_b,[2-18],[2196-2206],"['nsw', 'qld']",[19110520-19120808],>50K
969_b,[2-18],[2196-2206],"['nsw', 'qld']",[19110520-19120808],<=50K
29_b,[2-67],[2227-2304],"['qld', 'sa', 'st', 'vic']",[19041007-19101225],>50K
85_b,[2-67],[2227-2304],"['qld', 'sa', 'st', 'vic']",[19041007-19101225],<=50K
467_b,[2-67],[2227-2304],"['qld', 'sa', 'st', 'vic']",[19041007-19101225],<=50K
879_b,[2-67],[2227-2304],"['qld', 'sa', 'st', 'vic']",[19041007-19101225],<=50K
59_b,[15-23],[2326-2340],"['nsw', 'vic']",[19000103-19041011],>50K
117_b,[15-23],[2326-2340],"['nsw', 'vic']",[19000103-19041011],<=50K
512_b,[15-23],[2326-2340],"['nsw', 'vic']",[19000103-19041011],<=50K
892_b,[15-23],[2326-2340],"['nsw', 'vic']",[19000103-19041011],<=50K
31_b,[34-46],[2411-2481],"['nsw', 'sa']",[19040204-19101219],<=50K
416_b,[34-46],[2411-2481],"['nsw', 'sa']",[19040204-19101219],>50K
881_b,[34-46],[2411-2481],"['nsw', 'sa']",[19040204-19101219],>50K
327_b,[12-123],[2565-2810],"['nsw', 'vic']",[19041223-19091028],<=50K
433_b,[12-123],[2565-2810],"['nsw', 'vic']",[19041223-19091028],<=50K
690_b,[12-123],[2565-2810],"['nsw', 'vic']",[19041223-19091028],<=50K
993_b,[12-123],[2565-2810],"['nsw', 'vic']",[19041223-19091028],<=50K
118_b,[14-204],[2529-2617],['vic'],[19010923-19110417],>50K
384_b,[14-204],[2529-2617],['vic'],[19010923-19110417],<=50K
930_b,[14-204],[2529-2617],['vic'],[19010923-19110417],<=50K
982_b,[14-204],[2529-2617],['vic'],[19010923-19110417],>50K
149_b,[26-440],[2578-3000],"['nsw', 'sa', 'vic', 'wa']",[19010405-19100830],<=50K
154_b,[26-440],[2578-3000],"['nsw', 'sa', 'vic', 'wa']",[19010405-19100830],<=50K
